bank_id,frn,bank,source_filename_bank,source_workbook,workbook_kind,parent_group_id,parent_group,parent_group_status_caveat
149025,149025,ABC International Bank Plc,ABC INTERNATIONAL BANK,ABC INTERNATIONAL BANK FINANCIALS.xlsx,pillar3_only,arab_banking_corporation_bank_abc,Arab Banking Corporation / Bank ABC,"confirmed; FY2023–24 consolidated, earlier solo"
478415,478415,The Access Bank UK Limited,ACCESS BANK UK,ACCESS BANK UK FINANCIALS.xlsx,full,access_holdings_plc,Access Holdings Plc,confirmed; UK entity/group basis varies by year
1004742,1004742,Afin Bank Limited,AFIN BANK,AFIN BANK FINANCIALS.xlsx,full,waica_group,WAICA group,confirmed; standalone bank metrics
122088,122088,AIB GROUP (UK) P.L.C.,AIB GROUP UK,AIB GROUP UK FINANCIALS.xlsx,full,aib_group_plc,AIB Group plc,confirmed; UK Group basis
204503,204503,Aldermore Bank Plc,ALDERMORE,ALDERMORE FINANCIALS.xlsx,full,aldermore_group_plc,Aldermore Group plc,confirmed; Bank vs Group columns retained
821851,821851,ALLICA BANK LIMITED,ALLICA,ALLICA FINANCIALS.xlsx,full,allica_group,Allica group,confirmed non-single-parent/institutional-investor ownership; no single ultimate parent
135327,135327,Alpha Bank London Limited,ALPHA BANK LONDON,ALPHA BANK LONDON FINANCIALS.xlsx,full,alpha_bank_group,Alpha Bank group,confirmed from 20 Apr 2021; prior Alpha holding-company identities are historical
229148,229148,ALRAYAN BANK LIMITED,ALRAYAN BANK,ALRAYAN BANK FINANCIALS.xlsx,full,alrayan_bank_q_p_s_c,AlRayan Bank Q.P.S.C.,confirmed; UK entity basis
446951,446951,ARAB BANK EUROPE PLC,ARAB BANK EUROPE,ARAB BANK EUROPE FINANCIALS.xlsx,full,arab_bank_group,Arab Bank Group,confirmed; UK entity basis
143336,143336,"ARBUTHNOT LATHAM & CO., LIMITED",ARBUTHNOT LATHAM,ARBUTHNOT LATHAM FINANCIALS.xlsx,full,arbuthnot_banking_group_plc,Arbuthnot Banking Group plc,"confirmed; Bank Group cash flow, ABG P3 caveat"
